store_id,name,address_line1,city,region,Product Name,Price,Price Per Count,Primary Location Name,Available Quantity,Order Pickup
1101,Florissant,2341 N Highway 67,Florissant,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Florissant,10,IN_STOCK
108,Evansville North,4000 1st Ave,Evansville,IN,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Evansville North,10,IN_STOCK
834,Elgin,300 S Randall Rd,Elgin,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Elgin,10,IN_STOCK
1475,Clay,3857 State Route 31,Liverpool,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Clay,10,IN_STOCK
1392,Lees Summit,1850 NW Chipman Rd,Lees Summit,MO,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Lees Summit,10,IN_STOCK
1268,Colonie Northway,1440 Central Ave,Colonie,NY,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Colonie Northway,10,IN_STOCK
1543,Olathe South,20255 W 154th St,Olathe,KS,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Olathe South,10,IN_STOCK
2379,Winchester North,191 Market St,Winchester,VA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Winchester North,6,IN_STOCK
2348,Lake Geneva,660 N Edwards Blvd,Lake Geneva,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Lake Geneva,10,IN_STOCK
2780,Brookfield,12725 W Bluemound Rd,Brookfield,WI,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Brookfield,10,IN_STOCK
1460,Homewood,17605 S Halsted St,Homewood,IL,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Homewood,10,IN_STOCK
1461,McDonough,1850 Jonesboro Rd,Mcdonough,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,McDonough,10,IN_STOCK
750,Valdosta,1815 Norman Dr,Valdosta,GA,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Valdosta,10,IN_STOCK
1336,Houston South Main,8500 Main St,Houston,TX,Grade A Large Eggs - 18ct - Good & Gather™ (Packaging May Vary),$5.79 ,$0.32 ,Houston South Main,10,IN_STOCK
